sku,title,description,brand,product_type,gender,age_group,occasion,url_key,categories,created_at,updated_at,variant_count,product_ids,size,color,price,stock_status
25902201,Piper Double Resin Disc Drop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159308,00,blue,16.99,
25902202,Piper Double Resin Disc Drop Earrings,,,simple,,,,,,2019-04-16,2023-10-26,1,167543,00,dark multi,16.99,
25902203,Piper Double Resin Discs Drop,,,simple,,,,,,2019-05-21,2023-10-26,1,171893,00,gold druzy,16.99,
25902301,Amelie Marquis Statement Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159242,00,black/multi,16.99,
25902401,Milena Textured Enamel Teardrop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159344,00,black & gold,16.99,
25902501,Rachelle Diamante Circle Drop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159467,00,crystal,14.99,
25902502,Rachelle Diamante Circle Drop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159470,00,multi,14.99,
25902601,Soho Baguette Stone Hoop Earrings,,,simple,,,,,,2019-04-03,2023-10-26,1,163796,00,burgundy,16.99,
25902602,Soho Baguette Stone Hoop Earring,,,simple,,,,,,2019-09-03,2023-10-26,1,223725,00,rose,16.99,
25902603,Soho Baguette Stone Hoop Earrings,,,simple,,,,,,2019-05-07,2023-10-26,1,169967,00,crystal,16.99,
25902701,Mara Teardrop Fish Hook Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159320,00,black,16.99,
25902702,Mara Teardrop Fish Hook Earrings,,,simple,,,,,,2019-05-21,2023-10-26,1,172121,00,rose,16.99,
25902801,Isabel Mixed Stone Long Drop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159296,00,black/multi,22.99,
25902901,Zoe Rectangle Stone Long Drop Earrings,,,simple,,,,,,2019-03-12,2023-10-26,1,159497,00,red multi,22.99,
25903001,Hazel Diamante Adjustable Bangle,,,simple,,,,,,2019-03-11,2023-10-26,1,159494,00,rose gold,16.99,
25903101,Cindy Ball Hoop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159299,00,rose gold,14.99,
25903201,Bobbi Linked Small Drop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159257,00,rose gold,12.99,
25903301,Aida Clean Resin Circle Drop Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159245,00,natural,14.99,
25903302,Aida Clean Resin Circle Drop Earrings,,,simple,,,,,,2019-04-30,2023-10-26,1,169313,00,black marble,14.99,
25903401,Skyler Spiral Thread Earrings,,,simple,,,,,,2019-03-11,2023-10-26,1,159491,00,rose gold,14.99,
